close,change,momentum,Prediction
34.1791,0.1054,1.0,41.0009
34.0211,-0.158,-1.0,42.3793
34.5566,0.5356,1.0,42.8095
34.0913,-0.4653,-1.0,42.0983
33.8982,-0.1932,-1.0,42.7392
34.5654,0.6673,1.0,43.3714
34.8464,0.2809,1.0,43.7665
35.1888,0.3424,1.0,43.9245
34.8376,-0.3512,-1.0,43.5996
34.82,-0.0176,-1.0,42.59
35.0483,0.2283,1.0,42.151
35.2063,0.158,1.0,43.0378
35.4785,0.2722,1.0,42.7656
35.6014,0.1229,1.0,41.8086
36.1721,0.5707,1.0,42.4144
36.1106,-0.0615,-1.0,42.669
36.2862,0.1756,1.0,43.3714
36.9008,0.6146,1.0,44.3723
36.6637,-0.2371,-1.0,44.5654
36.7954,0.1317,1.0,44.4513
36.5408,-0.2546,-1.0,44.5303
37.4364,0.8955,1.0,43.1256
36.9622,-0.4741,-1.0,41.6067
37.2959,0.3336,1.0,41.2292
36.9798,-0.3161,-1.0,41.9227
36.9008,-0.079,-1.0,42.1686
36.7164,-0.1844,-1.0,41.8525
36.655,-0.0615,-1.0,42.2476
37.0149,0.36,1.0,41.396
36.971,-0.0439,-1.0,40.7989
37.0325,0.0615,1.0,41.554
36.9622,-0.0702,-1.0,42.2739
36.9096,-0.0527,-1.0,42.8358
36.8745,-0.0351,-1.0,42.8973
37.2783,0.4039,1.0,43.8718
37.2871,0.0088,1.0,44.144
37.6997,0.4126,1.0,44.9693
37.7173,0.0176,1.0,44.6795
37.4012,-0.3161,-1.0,45.4083
38.007,0.6058,1.0,44.7761
38.2529,0.2458,1.0,45.4083
38.4548,0.2019,1.0,44.9078
38.6216,0.1668,1.0,44.9166
38.7972,0.1756,1.0,45.8736
39.2274,0.4302,1.0,46.2335
38.9552,-0.2722,-1.0,45.7155
39.0606,0.1054,1.0,44.6181
39.2625,0.2019,1.0,46.3301
39.3503,0.0878,1.0,46.1809
39.6313,0.2809,1.0,45.9438
40.1756,0.5443,1.0,44.504
40.2458,0.0702,1.0,44.7322
39.921,-0.3248,-1.0,45.7858
39.7805,-0.1405,-1.0,45.3292
40.1317,0.3512,1.0,45.4697
40.2371,0.1054,1.0,46.4004
39.8771,-0.36,-1.0,44.5917
39.8683,-0.0088,-1.0,44.9429
39.1835,-0.6848,-1.0,45.7946
39.043,-0.1405,-1.0,45.338
39.7454,0.7024,1.0,46.0404
39.8507,0.1054,1.0,44.7147
40.0176,0.1668,1.0,43.9245
39.5083,-0.5092,-1.0,43.8016
40.158,0.6497,1.0,43.2397
39.9298,-0.2283,-1.0,42.8183
39.561,-0.3687,-1.0,42.0193
39.1308,-0.4302,-1.0,42.0808
40.4829,1.3521,1.0,42.9236
40.9921,0.5092,1.0,42.8095
41.0272,0.0351,1.0,44.8551
40.9043,-0.1229,-1.0,45.2151
40.8341,-0.0702,-1.0,45.0395
40.7902,-0.0439,-1.0,45.7331
40.8516,0.0615,1.0,45.777
40.8516,0.0,0.0,45.8033
40.7989,-0.0527,-1.0,45.3117
41.115,0.3161,1.0,46.0755
40.9131,-0.2019,-1.0,45.4522
41.1326,0.2195,1.0,45.1624
41.1414,0.0088,1.0,44.8727
41.0623,-0.079,-1.0,44.9254
41.1326,0.0702,1.0,45.417
41.1853,0.0527,1.0,45.1712
40.8428,-0.3424,-1.0,47.0852
40.8867,0.0439,1.0,47.1027
40.8516,-0.0351,-1.0,47.2608
40.7989,-0.0527,-1.0,47.6997
40.7638,-0.0351,-1.0,47.7963
40.6321,-0.1317,-1.0,47.2344
41.3082,0.676,1.0,47.7173
41.1589,-0.1493,-1.0,47.4188
41.8174,0.6585,1.0,47.8139
42.1422,0.3248,1.0,47.7612
42.2388,0.0966,1.0,48.1124
42.2564,0.0176,1.0,48.1826
42.4495,0.1932,1.0,47.9982
43.0026,0.5531,1.0,47.9895
42.59,-0.4126,-1.0,47.9456
42.8007,0.2107,1.0,48.2529
42.9851,0.1844,1.0,48.2441
42.7656,-0.2195,-1.0,48.8674
43.0992,0.3336,1.0,49.6049
43.0553,-0.0439,-1.0,49.9561
43.4767,0.4214,1.0,49.8595
43.626,0.1493,1.0,49.763
42.5549,-1.0711,-1.0,49.8068
42.7217,0.1668,1.0,49.9737
42.0457,-0.676,-1.0,49.0079
42.0544,0.0088,1.0,48.5865
42.9412,0.8867,1.0,48.2002
42.9412,0.0,0.0,48.0948
43.0904,0.1493,1.0,48.2441
