date,symbol,open,close,low,high,volume
1/4/2010,ADP,38.22651449,37.60316242,37.48902722,38.22651449,3930100
1/5/2010,ADP,37.4451273,37.40123178,37.19930114,37.6733986,3252400
1/6/2010,ADP,37.57682265,37.31343635,36.91835206,37.65584021,3111400
1/7/2010,ADP,36.98858824,37.29587357,36.95347059,37.31343635,2513300
1/8/2010,ADP,37.24319666,37.24319666,36.90957068,37.27831431,2310400
1/11/2010,ADP,37.24319666,37.41000966,36.98858824,37.41000966,2446200
1/12/2010,ADP,37.19051975,37.14662335,36.86567515,37.43635031,2571200
1/13/2010,ADP,37.07638367,37.41879104,36.92712994,37.51536787,2546000
1/14/2010,ADP,37.12906058,37.31343635,37.09394293,37.55926339,2402700
1/15/2010,ADP,37.50658648,37.11150132,36.74275768,37.68218086,3384800
1/19/2010,ADP,37.02370676,37.6733986,36.87445215,37.69095786,2931700
1/20/2010,ADP,37.26075593,37.17296049,36.54960843,37.48902722,4057200
1/21/2010,ADP,37.26953731,37.0061475,36.89201141,37.65584021,4356100
1/22/2010,ADP,37.0061475,36.14574276,36.08428797,37.18174188,4463500
1/25/2010,ADP,36.46180948,36.2335417,36.04916945,36.48814925,2400600
1/26/2010,ADP,36.06672871,36.04916945,35.97015189,36.2335417,2786900
1/27/2010,ADP,35.78577963,36.01404741,35.75943898,36.18964179,4096900
1/28/2010,ADP,35.78577963,35.71554346,35.46093152,36.15452414,4972700
1/29/2010,ADP,35.70676207,35.81211677,35.68920281,36.15452414,4173800
2/1/2010,ADP,36.0228288,36.05794732,35.7418806,36.13696488,3638600
2/2/2010,ADP,36.36523617,36.15452414,35.71554346,36.36523617,4142900
2/3/2010,ADP,35.87357507,35.82089816,35.56628973,36.01404741,3141700
2/4/2010,ADP,35.61018525,35.45215364,35.45215364,35.89991572,4410700
2/5/2010,ADP,35.39947673,35.3643547,34.87269798,35.55750834,4745500
2/8/2010,ADP,35.33801844,35.46971291,35.13608692,35.61896664,3460700
2/9/2010,ADP,35.8560158,35.73310272,35.51360843,36.07550571,3357900
2/10/2010,ADP,35.62774451,35.71554346,35.38191396,35.82089816,2091700
2/11/2010,ADP,35.61018525,35.90869359,35.29411853,36.09306497,2630400
2/12/2010,ADP,35.37313608,35.6365259,35.37313608,35.75066198,3429800
2/16/2010,ADP,35.89991572,36.25987796,35.69798068,36.30377788,2762000
2/17/2010,ADP,36.30377788,36.4003547,36.21598244,36.43547234,2425800
2/18/2010,ADP,36.6286216,36.16330114,36.09306497,36.65496225,4233800
2/19/2010,ADP,36.22476032,36.48814925,35.97892976,36.65496225,4293800
2/22/2010,ADP,36.49692713,36.52326778,36.38279543,36.81299385,3410900
2/23/2010,ADP,36.52326778,36.17208253,36.01404741,36.66374012,3778500
2/24/2010,ADP,36.17208253,37.08516506,36.14574276,37.08516506,4643100
2/25/2010,ADP,36.71642142,36.6198446,36.00526953,36.78665759,4149600
2/26/2010,ADP,36.70764004,36.53204917,36.28621861,36.81299385,3740200
3/1/2010,ADP,36.59350395,36.84811589,36.50570852,36.87445215,3315900
3/2/2010,ADP,36.79543459,36.74275768,36.6813029,36.96224759,3260200
3/3/2010,ADP,36.87445215,36.79543459,36.78665759,37.12906058,3735600
3/4/2010,ADP,36.89201141,36.6198446,36.47936787,37.04126514,5117400
3/5/2010,ADP,36.87445215,37.91044776,36.77787621,37.97190694,5564800
3/8/2010,ADP,37.90167076,37.8841115,37.62950307,37.96312906,3948700
3/9/2010,ADP,37.8841115,38.34065057,37.84021159,38.70061721,5927900
3/10/2010,ADP,38.08604214,38.52502283,37.96312906,38.56014047,5221400
3/11/2010,ADP,38.47234504,38.56892186,38.24407375,38.59526251,4325400
3/12/2010,ADP,38.49868569,38.46356804,38.3318727,38.57770325,3051200
3/15/2010,ADP,38.78841176,38.84108955,38.51624495,38.93766637,3343900
3/16/2010,ADP,39.02546093,38.84987094,38.58648112,39.02546093,2639800
3/17/2010,ADP,38.85864881,39.23617384,38.84987094,39.42932748,3099200
3/18/2010,ADP,39.13959701,39.26251449,39.06058297,39.39420896,1961100
3/19/2010,ADP,39.5346813,39.15715628,38.71817559,39.70149429,4858200
3/22/2010,ADP,39.10447849,39.35908692,38.75329412,39.41176822,4801700
3/23/2010,ADP,39.49956365,39.42932748,39.13081914,39.50834065,3250300
3/24/2010,ADP,39.23617384,38.9288885,38.88498859,39.41176822,4508300
3/25/2010,ADP,39.03424232,38.61282177,38.57770325,39.03424232,4693300
3/26/2010,ADP,38.64793942,38.84108955,38.64793942,39.01668393,2178700
3/29/2010,ADP,38.94644776,39.10447849,38.78841176,39.2098367,3528200
3/30/2010,ADP,38.97278402,39.1483784,38.8674302,39.24495522,2358200
3/31/2010,ADP,39.06936084,39.04302019,38.8674302,39.17471554,3141200
4/1/2010,ADP,39.2098367,38.78841176,38.54258121,39.2098367,3068300
